author,cook_category,cook_instructions,description,ingredient_amount,ingredient_name,picture_src,rating,recipe_title,tags,time_metric,time_num,url,yield_metric,yield_num
Donna St. George,,"The day before serving, in a large (4- to 6-quart) saucepan over medium-low heat, bring 4 cups of water to a simmer. Add lentils. Cover, and simmer 15 minutes. Add barley. Cover, and simmer 15 minutes more. Add brown rice. Cover, and simmer 20 minutes, or until the water is absorbed and the rice is al dente. Do not let the pan burn dry. (If necessary, stir in a small amount of water.) Remove from heat, and set aside.---,In a medium saute pan over medium-low heat, combine the olive oil, carrots, onion and celery. Saute until the vegetables are tender, about 10 minutes. Add sunflower seeds, oregano, salt, pepper, thyme, basil and garlic. Saute a minute or two. Remove from heat.---,Combine grains and vegetables in a large covered container, and refrigerate overnight.---,On the day of serving, Add eggs and flour to the grain mixture. Mix well. With an ice cream scoop or by hand, form balls 3 1/2 to 4 inches in diameter. Flatten into disks about 3/4 inch thick.---,In a large saute pan or skillet over medium-high heat, warm the canola oil. Add the burgers, and cook until golden brown, 3 to 4 minutes a side. Serve immediately.---",,"½,½,½,2,1 ⅓,¾,¾,2,1,1 ½,,1,1,1 ½,2,½,2","cup brown lentils---,cup barley---,cup brown rice---,tablespoons olive oil---,cups minced carrots---,cup minced onion---,cup minced celery---,tablespoons toasted or dry-roasted sunflower seeds---,teaspoon oregano---,teaspoons salt---,Freshly ground black pepper to taste---,teaspoon minced thyme---,tablespoon dried basil---,teaspoons minced garlic---,large eggs---,cup flour---,tablespoons canola or vegetable oil---",,4,Veggie Burgers,"Burgers,Barley,Brown Lentil,Brown Rice,Carrot,Celery,Flour,Sunflower Seed,Dinner,Lunch,Weekday,Main Course,High Fiber,Low Calorie,Vegetarian","hour,minutes","1,30",https://cooking.nytimes.com/recipes/6846-veggie-burgers,burgers,10
Martha Rose Shulman,Healthy,"Preheat the oven to 375 degrees. Place the cooked quinoa in a large bowl.---,Heat 1 tablespoon of the oil over medium-high heat in a heavy skillet and add the sliced shiitakes in one layer. Cook, without stirring, for 1 minute, and then stir until the mushrooms are beginning to soften. Add the ginger, garlic and a generous pinch of salt and continue to cook for another minute. Remove from the heat and add to the bowl with the quinoa. Stir in the red pepper, cilantro and arugula.---,In a food processor fitted with the steel blade, or in a bowl using a fork or a potato masher, purée the white beans with the lime juice and, if using, the egg. Add to the quinoa mixture and stir everything together. Season to taste with soy sauce or salt and pepper.---,Begin heating a heavy ovenproof skillet over medium-high heat. Seasoned cast iron is good, and so is a heavy nonstick pan that can go into the oven. Moisten your hands lightly and shape 4 large or 6 smaller patties. Add the remaining tablespoon of oil to the pan and, working in batches if necessary, cook the patties for 2 minutes on one side, until nicely browned. Carefully turn over and place in the oven. Bake 10 to 15 minutes, until the patties are lightly browned and don’t fall apart. Remove from the heat and serve, with or without buns, ketchup and the works.---","This vibrant burger is made with both cooked and uncooked vegetables. The egg is optional; if you don’t use it, be careful when flipping the patty so that it doesn’t fall apart.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","2,2,6,1,2,1,¼,1,,1,1 to 2,1,,","cups cooked quinoa---,tablespoons canola oil---,fresh shiitake mushrooms, stemmed and sliced thin---,tablespoon minced fresh ginger---,garlic cloves, minced---,cup finely chopped red bell pepper---,cup chopped cilantro---,cup finely chopped arugula---,Salt to taste---,15-ounce can white beans, drained and rinsed---,tablespoons fresh lime juice (to taste)---,egg (optional)---,Soy sauce to taste (optional)---,Freshly ground pepper---",https://static01.nyt.com/images/2012/03/27/health/nutrition/27recipehealth/27recipehealth-articleLarge-v3.jpg,4,Quinoa and Vegetable Burgers With Asian Flavors,"Dairy Free,Gluten Free,Healthy,High Fiber,Low Cholesterol,Nut Free,Vegan,Vegetarian",minutes,40,https://cooking.nytimes.com/recipes/1015442-quinoa-and-vegetable-burgers-with-asian-flavors,burgers,"4,6"
Martha Rose Shulman,Healthy,"Preheat the oven to 375 degrees. Heat 1 tablespoon of the oil over medium heat in a heavy ovenproof skillet and add the onion and carrot. Cook, stirring often, until just about tender, about 3 minutes, and add the mushrooms, ginger, turmeric, cumin, curry powder, mustard seeds and cayenne and a pinch of salt. Cook for another 3 minutes or so, until the vegetables are tender and fragrant and the spices aromatic. Remove from the heat and transfer to a large bowl. Add the rice.---,Purée the lentils with the egg and add to the vegetable and rice mixture. Stir together, season with salt and pepper, and shape into 6 patties.---,Heat the ovenproof skillet over medium-high heat. Add the remaining tablespoon of oil to the pan and, working in batches if necessary, cook the patties for 2 minutes on one side, or until nicely browned. Carefully turn the patties over and place in the oven. Bake 10 to 12 minutes, until the patties are lightly browned and don’t fall apart. Remove from the heat and serve, with or without buns, chutney or ketchup and the works.---","I love the Indian spices in these burgers. The turmeric offers bonus antioxidant health benefits, but even without it, they’re in abundance in this recipe, with all the carrots and ginger.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ,
                      ,
                      ,
                    ","2,⅓,1,6,1,½,2,1,½,,,1,2 ½,1","tablespoons peanut or canola oil---,cup finely diced onion---,cup finely diced carrots---,ounces mushrooms, sliced or finely chopped---,tablespoon minced fresh ginger---,teaspoon turmeric---,teaspoons cumin seeds, lightly toasted and ground---,teaspoon curry powder---,teaspoon yellow mustard seeds---,Pinch of cayenne (or to taste)---,Salt and freshly ground pepper to taste---,cup cooked brown rice---,cups cooked brown lentils, drained---,egg---",https://static01.nyt.com/images/2012/03/30/health/nutrition/30recipehealth/30recipehealth-articleLarge-v3.jpg,4,"Curried Lentil, Rice and Carrot Burgers","Dairy Free,Gluten Free,Healthy,High Fiber,Low Sodium,Vegetarian",minutes,40,https://cooking.nytimes.com/recipes/1015443-curried-lentil-rice-and-carrot-burgers,burgers,6
Martha Rose Shulman,Healthy,"Preheat the oven to 375 degrees. Combine the rice, beets and herbs in a large bowl.---,Purée the beans with the lemon juice and egg in a food processor fitted with the steel blade or with a fork. Scrape into the bowl with the rice and beets. Add the goat cheese, salt and pepper, and mix the ingredients together.---,Moisten your hands and form 6 patties.---,Working in batches, heat 1 tablespoon of the oil at a time in a heavy ovenproof skillet and brown the patties on one side for 2 minutes. Turn over onto the other side and place in the oven for 10 minutes. Serve with or without buns, ketchup and the works.---","For some reason these pink burgers tasted better to me after they’d sat for a day in the refrigerator. So make them ahead for quick meals through the week and reheat in a medium oven or a frying pan.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ,
                      ,
                      ,
                    ","2,1,¼,1,1,1,2,,2","cups cooked brown or white rice---,cup finely diced or grated roasted beets---,cup chopped fresh herbs, like a mixture of parsley and dill---,15-ounce can white beans, drained and rinsed---,tablespoon fresh lemon juice---,egg---,ounces goat cheese, crumbled---,Salt and freshly ground pepper---,tablespoons extra virgin olive oil or canola oil, as needed---",https://static01.nyt.com/images/2012/03/28/health/nutrition/28recipehealth/28recipehealth-articleLarge-v3.jpg,4,"Beet, Rice and Goat Cheese Burgers","Gluten Free,Healthy,High Fiber,Nut Free,Vegetarian",minutes,30,https://cooking.nytimes.com/recipes/1015441-beet-rice-and-goat-cheese-burgers,burgers,6
Mark Bittman,Easy,"Soak the mushrooms in hot water for 5 to 10 minutes; roughly chop.---,Put the mushrooms, beans, garlic, oats, spices and soy sauce in a food processor with a sprinkle of salt and pepper. Let the machine run until the mixture is combined, not puréed, about 30 seconds. (Or use a potato masher.) Add oats to thicken, or liquid to thin, as needed.---,Stir in the cilantro, and let sit for 5 minutes.---,Shape into 4 large or 8 small patties; let them sit for 5 minutes.---,Put the oil in a large skillet over medium-low heat. Cook until crisp on one side, about 5 minutes. Flip and cook until the burgers are crisp on the other side, another 5 minutes or so. Serve with the usual fixings.---","Make semi-veganism work for you. Once a week, let bean burgers stand in for hamburgers, leave the meat out of your pasta sauce, make a risotto the likes of which you’ve probably never had — and you may just find yourself eating “better.”,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","¼,2,1,¾,2,1,1,,,¼,2","cup dried, stemless porcini mushrooms---,cups cooked or drained canned black beans---,teaspoon roughly chopped garlic---,cup rolled oats, or more if needed---,teaspoons smoked paprika or chili powder---,teaspoon cumin---,tablespoon soy sauce---,Salt and black pepper---,Bean-cooking liquid, porcini soaking liquid or water---,cup chopped cilantro---,tablespoons olive oil---",https://static01.nyt.com/images/2016/04/18/dining/18COOKING-MCBITTYBEANBURGERS2/18COOKING-MCBITTYBEANBURGERS2-articleLarge.jpg,5,McBitty's Bean Burgers,"Burgers,Easy,Lunch,Quick,Main Course,Vegan,Vegetarian",minutes,"35,45",https://cooking.nytimes.com/recipes/12221-mcbittys-bean-burgers,supersize,"8,4"
Martha Rose Shulman,,"Combine quinoa, red lentils, water and salt to taste (I used a rounded 1/2 teaspoon) in a saucepan and bring to a boil. Reduce heat, cover and simmer 15 to 20 minutes, until quinoa is tender and blond quinoa displays a thread, and lentils are just tender. Drain off any water remaining in the pot through a strainer, tapping strainer against the sink to remove excess water, then return quinoa and lentils to the pot. Cover pot with a towel, then return the lid and let sit undisturbed for 15 minutes.---,Skin sweet potatoes and place in a large bowl. Mash with a fork. Add spinach and mash together (I use my hands for this). Add quinoa and lentils, feta, mint, chives, lemon juice, and salt and pepper to taste. Mix together well. Mixture will be moist.---,Take up about 1/3 cup of the mixture and form into a ball (you can wet your hands to reduce sticking). Roll the ball in the panko or chickpea flour, then gently flatten into a patty. Set on a plate and continue with the rest of the mixture. Refrigerate uncovered for 1 hour or longer (the longer the better).---,When you’re ready to cook, place a rack over a sheet pan. Heat 2 tablespoons oil in a 12-inch, heavy nonstick frying pan over high heat. Swirl the pan to coat with the hot oil. Lower heat to medium. Place 4 to 5 patties in the pan (do not crowd), and cook until well browned on one side, about 4 minutes. Turn and brown for about 4 more minutes. Remove to rack. Heat remaining oil in the pan and cook remaining patties. Keep patties warm in a low oven until ready to serve. Serve with a salad and your choice of toppings, such as the usual (ketchup, mustard, relish), or yogurt raita, garlic yogurt, or chutney.---","You can use blond or black quinoa for these delicate burgers. Black will look striking against the sweet potato’s orange when you cut into the burgers. The red lentils pale to yellow when you cook them; they contribute texture and flavor. The burgers have a decidedly Mediterranean flavor, with feta and mint included in the mix. But I still like to serve them with raita or chutney; a more Mediterranean condiment would be yogurt seasoned with puréed garlic and mint.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","⅓,⅓,1 ⅔,,1 ½,3,3,3,¼,2,,1,¼","cup quinoa (blond or black), rinsed---,cup red lentils, rinsed---,cups water---,Salt to taste---,pounds sweet potatoes, baked---,cups, tightly packed, chopped fresh spinach---,ounces feta, crumbled (about 3/4 cup)---,tablespoons chopped fresh mint---,cup minced chives---,teaspoons fresh lemon juice---,Freshly ground pepper to taste---,cup panko or chickpea flour (you will not use all of it)---,cup grape seed oil---",https://static01.nyt.com/images/2014/05/13/science/16recipehealth/16recipehealth-articleLarge.jpg,5,"Sweet Potato, Quinoa, Spinach and Red Lentil Burger","American,Indian,Burgers,Dinner,Lunch,Main Course,Fall,Spring,Winter,Halal,Kosher,Low Cholesterol,Nut Free,Vegetarian",hour,1,https://cooking.nytimes.com/recipes/1016342-sweet-potato-quinoa-spinach-and-red-lentil-burger,patties,10
Melissa Clark,Easy,"Rub an ice cube over the inside bottom of a heavy pot to prevent scorching (or rinse the inside of the pot with cold water). Add milk and cream, if using, and bring to a bare simmer, until bubbles form around the edges, 180 to 200 degrees. Stir the milk occasionally as it heats.---,Remove pot from heat and let cool until it feels pleasantly warm when you stick your pinkie in the milk for 10 seconds, 110 to 120 degrees. (If you think you’ll need to use the pot for something else, transfer the milk to a glass or ceramic bowl, or else you can let it sit in the pot.) If you’re in a hurry, you can fill your sink with ice water and let the pot of milk cool in the ice bath, stirring the milk frequently so it cools evenly.---,Transfer 1/2 cup of warm milk to a small bowl and whisk in yogurt until smooth. Stir yogurt-milk mixture back into remaining pot of warm milk. Cover pot with a large lid. Keep pot warm by wrapping it in a large towel, or setting it on a heating pad, or moving to a warm place, such as your oven with the oven light turned on. Or just set it on top of your refrigerator, which tends to be both warm and out of the way.---,Let yogurt sit for 6 to 12 hours, until the yogurt is thick and tangy; the longer it sits, the thicker and tangier it will become. (I usually let it sit for the full 12 hours.) Transfer the pot to the refrigerator and chill for at least another 4 hours; it will continue to thicken as it chills.---","Homemade yogurt is a snap to make. All you really need is good quality milk, a few spoonfuls of your favorite plain yogurt to use as a starter culture, and some time to let it sit. You can substitute low-fat milk here if you’d rather; 2 percent works a lot better than 1 percent. Skim milk will give you a thinner yogurt, though if you add some dry milk powder to the milk as it heats (about 1/2 cup), that will help thicken it. Creamline (non-homogenized milk) will give you a cream top on your yogurt. Homogenized milk is smooth throughout.,
      ,
      ,. 
  ","2,¼,3 to 4","quarts whole milk, the fresher the better---,cup heavy cream (optional)---,tablespoons plain whole milk yogurt with live and active cultures---",https://static01.nyt.com/images/2018/07/18/dining/18YOGURT1/18YOGURT1-articleLarge.jpg,5,Creamy Homemade Yogurt,"Project,Cream,Milk,Whole Milk Yogurt,Breakfast,Brunch,Easy,Snack,Gluten Free",minutes,20,https://cooking.nytimes.com/recipes/1017991-creamy-homemade-yogurt,quarts,"1,3/4"
Martha Rose Shulman,Healthy,"Heat 1 tablespoon of the olive oil in a medium-size skillet and add the onion. Cook, stirring, until tender, about 5 minutes. Add a pinch of salt, the garlic and the grated carrot, and continue to cook for another minute or two, until fragrant and the carrot has softened slightly. Remove from the heat.---,In a food processor fitted with the steel blade, puree the beans with the lemon juice. Transfer to a bowl and stir in the onion mixture, the parsley, sage or thyme, the bread crumbs and the egg. Season to taste. Shape into patties, ½- to ¾-inch thick. Set on a parchment-covered baking sheet and cover with plastic wrap. Refrigerate for 1 to 2 hours.---,Heat the remaining oil in a large, heavy skillet or on a griddle over medium heat and brown the patties for 4 minutes on each side, being very careful when you turn them over. An offset spatula works well for this. Serve on whole grain buns, with the condiments of your choice.---","These have a delicate texture and a wonderful savory taste. They’re a little tricky to turn, as they can fall apart. Don’t make them too thick and use an offset spatula, and it will be easier for you. They should be cooked on a flat griddle or pan; don’t try to grill them on a barbecue.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","2,2,1,,2 to 3,⅔,3,¼,2,½,1,,","cans white beans, drained and rinsed---,tablespoons extra virgin olive oil---,small onion, finely chopped---,Salt to taste---,large garlic cloves (to taste), green shoots removed, minced---,cup finely grated carrot---,tablespoons freshly squeezed lemon juice---,cup finely chopped parsley---,teaspoons minced fresh sage or thyme---,cup fresh bread crumbs---,egg, beaten---,Freshly ground pepper to taste---,Whole grain hamburger buns and the condiments of your choice---",https://static01.nyt.com/images/2010/01/12/health/12recipehealth_600/12recipehealth_600-articleLarge-v2.jpg,4,White Bean Burgers,"Burgers,Bread Crumb,White Bean,Dinner,Easy,Weekday,Main Course,Dairy Free,Halal,Healthy,High Fiber,Kosher,Nut Free,Vegetarian","minutes,hours","30,2",https://cooking.nytimes.com/recipes/1012989-white-bean-burgers,patties,6
Julia Moskin,,"In a mixer, whip heavy cream just until it begins to thicken. Add vanilla and whip until soft peaks form. With mixer running, slowly pour in condensed milk and whip until high peaks form.---,Transfer into a container or bowl for freezing. Freeze at least 4 hours or overnight.---",,"1,1,1","cup cold heavy cream---,teaspoon pure vanilla extract---,(14-ounce) can cold sweetened condensed milk---",,4,Condensed Milk Ice Cream,"Ice Creams And Sorbets,Heavy Cream,Sweetened Condensed Milk,Quick,Dessert",minutes,15,https://cooking.nytimes.com/recipes/1013069-condensed-milk-ice-cream,servings,6
Mark Bittman,Easy,"Hull strawberries, then wash them and chop into 1/4-inch-thick pieces. Toss with half the sugar, and wait 10 minutes, stirring occasionally, until they give up their juices.---,Place half the strawberries and all the juice in a blender, and puree. Pour puree back in bowl with chopped strawberries.---,Whip the cream with remaining sugar and vanilla until cream is stiff and holds peaks easily. Fold berries and cream together, and serve immediately, or refrigerate for up to two hours.---","This Minimalist recipe is as basic as dessert gets, and especially in strawberry season it’s just perfect. It is essentially fresh strawberries and whipped cream (substitute heavy cream, sour cream or yogurt). It can be eaten right away or refrigerated. Only a fool would pass this up.,
      ,
      ,. 
  ","1,½,1,1","pint strawberries---,cup sugar, or to taste---,cup heavy cream---,teaspoon vanilla extract, optional---",,5,Strawberry Fool,"Heavy Cream,Strawberry,Sugar,Brunch,Easy,Quick,Dessert,Spring,Raw",minutes,30,https://cooking.nytimes.com/recipes/9592-strawberry-fool,servings,4
Mark Bittman,Easy,"Cut about 1 pound watermelon into small chunks (discarding the rind), and freeze them. When they’re frozen, put them in a blender with 2 tablespoons sugar and 2 tablespoons lemon juice, and blend until the mixture liquefies. Pour the mixture into a shallow glass or ceramic pan, and freeze for about 2 hours, breaking up the ice crystals with a fork every 30 minutes or so. It should be slushy and crunchy.---",A few lazy stirs as this granita sets up in the freezer is really the only tricky thing about this easy and refreshing dessert. It’s also a perfect midafternoon cooler for a vacation house full of children.,"1,2,2","pound watermelon---,tablespoons sugar---,tablespoons lemon juice---",https://static01.nyt.com/images/2014/05/12/dining/Granita/Granita-articleLarge.jpg,5,Watermelon Granita,"Easy,Dessert,Summer,Low Fat","hours,minutes","2,30",https://cooking.nytimes.com/recipes/1014903-watermelon-granita,servings,"6,8"
Julia Moskin,,"Heat oven to 300 degrees. Bring a large pot of salted water to a boil and butter a 9-by-13-by-2-inch baking dish. If using sausages, remove casings and discard them.---,Place cabbage in boiling water, cover, and let water come back to the boil. Uncover and boil for 3 minutes. Drain cabbage in a colander and run cold water over it to stop cooking.---,Put about 1/3 of the cabbage in buttered dish and cover with 1/2 the meat. Sprinkle with salt and pepper and dot with butter. Repeat, ending with a final layer of cabbage, and dot top with butter.---,Cover dish tightly with a layer of parchment paper, then top with a lid or a layer of aluminum foil. Cook for about 2 1/2 hours, until cabbage is soft and sweet, and top is lightly browned. After 2 hours, uncover the dish: if there is a lot of liquid in the bottom, leave uncovered for the rest of the cooking time. If not, re-cover and finish cooking.---","This recipe is an adaptation of one created by Tamasin Day-Lewis, the Stevie Nicks of British cookery. A casserole recipe that she credits to the British food writer Jane Grigson has just four ingredients — sausage, cabbage, butter and pepper — but after two and a half hours in the oven, it emerges mysterious and succulent.,
      ,
      ,. 
  ",",3,2,1,,","Salt---,tablespoons unsalted butter---,pounds fresh sweet Italian pork sausages or bulk sausage---,large green or Savoy cabbage, about 4 pounds, cored and thickly shredded---,Freshly ground black pepper---,Crusty bread and mustard, for serving---",https://static01.nyt.com/images/2014/04/11/dining/sausageandcabbage/sausageandcabbage-articleLarge.jpg,4,Sausage and Cabbage,"Italian Pork Sausage,Savoy Cabbage,Dinner,Weekday,Main Course",hours,3,https://cooking.nytimes.com/recipes/1881-sausage-and-cabbage,servings,6
Melissa Clark,Easy,"Season fish with salt and pepper and set aside.---,In a large skillet with a lid, melt butter in olive oil over medium heat. Add shallot, thyme and a pinch of salt and pepper and cook until golden, about 3 minutes. Add wine and cook until slightly thickened and shallot is very soft, about 2 minutes longer.---,Add cod to pan, spoon some of the shallots over top of fish and cover pan. Reduce heat as needed; the liquid should be at a simmer, not a boil. Cook until fillets are just opaque, 2 to 4 minutes.---,Meanwhile, in a small bowl mix together yogurt, dill, garlic, and salt and pepper to taste.---,Serve the cod immediately, topped with shallots, yogurt sauce and dill. Drizzle everything with a little more olive oil, and sprinkle with flaky salt and more pepper.---","In this blissfully easy weeknight dinner, cod and shallots are braised in butter and wine, then topped with an herbed, garlicky yogurt sauce. It’s fast, flavorful and comforting, especially when served with mashed potatoes to drink up the pan juices. You can substitute any other mild-fleshed fish for the cod. Hake, sea bass, flounder and porgy all work nicely, though you may have to adjust the cooking time, depending on the thickness of the fillets.,
      ,
      ,. 
  ","4,,2,1,1,5,¼,⅓,2,1,","cod or hake fillets (6 to 8 ounces each)---,Salt and freshly ground black pepper, to taste---,tablespoons unsalted butter---,tablespoon extra-virgin olive oil, more as needed---,large shallot or 1/4 of a red onion, thinly sliced---,sprigs thyme---,cup dry white wine---,cup plain yogurt (see Note)---,tablespoons minced fresh dill, parsley or cilantro, more for serving---,small clove garlic, finely grated or minced---,Flaky sea salt, for serving (optional)---",https://static01.nyt.com/images/2018/01/10/dining/10APPE2/merlin_131766866_5a12267d-a773-4dd3-8737-590b05f536af-articleLarge.jpg,4,Quick-Braised Cod With Herbed Yogurt,"Mediterranean,Seafood,Cod,Garlic,Shallot,Yogurt,Dinner,Easy,Quick,Main Course",minutes,20,https://cooking.nytimes.com/recipes/1019131-quick-braised-cod-with-herbed-yogurt,servings,4
Mark Bittman,,"Put the olive oil in a Dutch oven over medium-high heat. When it is hot, sprinkle the fish with salt and pepper, and add it to the pot. Cook, undisturbed, until it is well browned, 5 or 6 minutes. (If you’re using halibut fillet, and it has skin, brown the nonskin side.) Transfer it to a plate, browned side up.---,Add the onion, thyme, saffron, carrots, fennel and potatoes; sprinkle 
with salt and pepper. Cook, stirring occasionally until the onion begins to soften, about 5 minutes. Add the tomato paste and smoked paprika, and cook, stirring, until the tomato paste darkens a bit, 2 or 3 minutes. Add the wine, scraping up any browned bits from the bottom of the pot, and let it bubble away until it almost disappears.---,Add the stock, bring to a boil and let it bubble vigorously until the liquid reduces by about a third, about 10 minutes. Adjust the heat so the mixture simmers; when the vegetables are nearly tender — about 10 minutes later — nestle the fish, browned side up, among the vegetables; keep the browned crust above the liquid. Cook, undisturbed, until the fish and vegetables are tender, 10 to 15 minutes.---,Transfer the fish to a cutting board, and divide the vegetables among 
shallow bowls. Slice the fish and put it on top of the vegetables. Taste the cooking liquid, and adjust the seasoning; ladle it over all, garnish with the parsley and serve.---",,"3,1 ½ to 2,,1,2,1,3,1,1,2,1,½,2 ½,","tablespoons olive oil---,pounds monkfish tail, halibut steak or fillet, or swordfish, as thick as possible and preferably in one piece---,Salt	and	pepper---,onion, chopped---,thyme sprigs---,pinch saffron, optional---,medium carrots, cut into 1-inch chunks---,small fennel bulb, cut into chunks---,pound potatoes, cut into 1-inch chunks---,tablespoons tomato paste---,teaspoon smoked paprika (pimentón)---,cup red wine---,cups beef or chicken stock---,Chopped fresh parsley for garnish.---",https://static01.nyt.com/images/2014/02/09/magazine/09eat3/09eat3-articleLarge.jpg,5,"Braised Fish, Pot-Roast-Style","Brunch,Dinner,Lunch,Weekday,Main Course",minutes,45,https://cooking.nytimes.com/recipes/1016026-braised-fish-pot-roast-style,servings,4
Julia Moskin,,"Line a rimmed 9-by-13-inch baking pan with parchment or wax paper.---,In a food processor, pulse cereal until just broken into bits; do not process into a powder. Transfer to a large bowl.---,In the top of a double boiler, combine chocolate and tahini. Stir over simmering water until melted and smooth. Alternatively, melt in the microwave, using short bursts of low heat.---,Pour chocolate mixture over cereal and stir together quickly.---,For bars, spread mixture in the prepared pan. It should be about 1/2-inch thick; you may need to push the mixture toward one end and level it if it does not quite fill the pan. For rounds, drop spoonfuls of the mixture onto prepared pan and use the back of the spoon to form into circles. Refrigerate until hardened, about 2 hours.---,To serve, cut into bars or squares, or serve rounds as cookies. Any extras can be crumbled and used as an ice cream topping. Store in the refrigerator.---","For Philippe Massoud, the Lebanese-American chef at Ilili in New York, sesame desserts are the taste of childhood. In this easy recipe, he adds tahini and milk chocolate to breakfast cereal and comes up with a crunchy bar cookie that's delicious eaten on its own or sublime crumbled over ice cream.,
      ,
      ,. 
  ","8,10,1 ¼","ounces/225 grams Rice Chex, puffed rice or another crunchy, light cereal like cornflakes---,ounces/300 grams milk chocolate---,cups/270 milliliters tahini, well stirred---",https://static01.nyt.com/images/2016/04/11/dining/chocolate-sesame-crunch-bars/chocolate-sesame-crunch-bars-articleLarge.jpg,4,Chocolate-Sesame Crunch Bars,"Middle Eastern,Cookies And Bars,Cereal,Milk Chocolate,Tahini,Snack,Dessert","minutes,hours","20,2",https://cooking.nytimes.com/recipes/1018060-chocolate-sesame-crunch-bars,small,"12,2,3"
Mark Bittman,Easy,"Wash greens and shake dry, allowing some water to cling to leaves. Cut into rough sections, 3 or 4 inches long; cut off and discard any stems thicker than 1/4-inch.---,Put greens in a deep skillet that can be covered, along with wine, garlic, half the butter, and some salt and pepper. Turn heat to medium-high, cover and cook, checking occasionally to make sure mixture does not dry out, until greens are just about tender, 10 minutes or so.---,Put fish on top of greens, season with salt and pepper, and dot with remaining butter. Re-cover, and cook until fish is done and greens fully tender, 5 to 10 minutes more.---","Many home cooks are comfortable with spinach but are intimidated by the unfamiliar variety of other cooking greens: chard, mustard, turnips, collards, kale and more. But it doesn't matter much which you include in a given dish: they're all good, and they all cook quickly. This preparation is dead easy. You first steam the kale with butter (you could use olive oil, but here it just isn't the same), white wine (water is almost as good) and garlic, until it's just about done. At that point you top the greens with a fillet or two of white fish and continue to steam until the fish is cooked through. Timed correctly, the greens will be tender and bright green and the fish moist. The juices from both will have combined with the butter, wine and garlic to produce a sauce that is great with rice or bread.,
      ,
      ,. 
  ","1,½,1 or 2,3,,1 ½","medium bunch kale, collards or other greens, about a pound---,cup dry white wine (or water)---,cloves garlic, peeled and lightly smashed---,tablespoons butter or extra virgin olive oil---,Salt and pepper---,pounds skinless white fillet, like cod, halibut, hake, whiting, red snapper or sea bass---",https://static01.nyt.com/images/2016/12/20/dining/20COOKING-STEAMEDFISH1/20COOKING-STEAMEDFISH1-articleLarge.jpg,5,Steamed Fish on Kale,"Seafood,Cod,Extra Virgin Olive Oil,Kale,Dinner,Easy,Quick,Main Course",minutes,30,https://cooking.nytimes.com/recipes/8448-steamed-fish-on-kale,servings,4
Florence Fabricant,Easy,"Heat oven to 450 degrees. Cut bacon lengthwise in thin slivers, best done by rolling the slices as for a julienne, then slicing through the rolls. Put butter and oil in a baking dish large enough to hold fish. Place in oven until butter melts and starts to color. Lay bacon slivers in baking dish (don’t worry if some break), return dish to oven and cook until bacon is crisp, 10 to 15 minutes. Remove bacon to several thicknesses of paper towel, leaving fat in baking dish.---,Pat trout dry and season with salt and pepper. Place in baking dish and baste with hot fat. Roast for 10 minutes. Baste again. Break bacon into 1-inch pieces and scatter, along with lemon bits, over fish. Add chicken stock to baking dish. Roast for 5 minutes. Baste again and scatter with herbs. Roast 2 minutes more.---,Serve directly from dish, cutting along the back edge of the fish with a sharp knife, then lifting the top fillet off the bones onto a platter or dinner plate. Spoon pan juices over the fish. Remove the bones, head and tail. Serve bottom fillet, then repeat with second fish. Before discarding the heads, check to see if anyone wants to pick out the cheeks.---",,"3,2,1,2,,1,½,⅓","slices smoked bacon or speck (about 2 ounces)---,tablespoons unsalted butter---,tablespoon extra-virgin olive oil---,brook trout, about 1 pound each, gutted, left whole---,Salt and black pepper---,lemon, peel sliced off down to the flesh, seeded and diced---,cup chicken stock---,cup finely chopped herbs: rosemary, tarragon, parsley---",https://static01.nyt.com/images/2013/03/13/dining/13PAIRING_SPAN/13PAIRING_SPAN-articleLarge.jpg,5,Roast Trout With Bacon and Herbs,"Bacon,Fresh Herb,Trout,Dinner,Easy,Main Course",minutes,40,https://cooking.nytimes.com/recipes/1014593-roast-trout-with-bacon-and-herbs,servings,4
