author,cook_category,cook_instructions,description,ingredient_amount,ingredient_name,num_ratings,picture_src,rating,recipe_title,tags,time,url,yield_
Nigella Lawson,,"For cake: heat oven to 350 degrees. Butter sides of two 8-inch cake pans, and line bottoms with parchment paper. In the bowl of a food processor fitted with a knife blade, combine flour, sugar, baking powder, baking soda, cocoa powder, butter, eggs, vanilla and sour cream. Process to make a smooth, thick batter.,Using a rubber spatula, divide batter between pans, and smooth tops. Bake until a cake tester inserted in center comes out clean, 25 to 35 minutes; do not overbake. Transfer to a wire rack to cool for 10 minutes before removing from cake pans.,For frosting: Combine chocolate and butter in a large heat-proof bowl, and heat until melted in a microwave oven or over a pan of simmering water. Remove from heat, and allow to cool for 5 minutes. Stir in corn syrup, sour cream, and vanilla. Whisk in confectioners' sugar until very smooth. Frosting should be thick and spreadable. If necessary, add a teaspoon or two of boiling water to thin it, or additional sifted confectioners' sugar to thicken.,Cut four strips of waxed or parchment paper, and place them side by side on a cake plate, covering the surface. Place one cake layer domed-side down on plate.,Spoon about a third of the frosting onto center of cake, and use a knife or a spatula to spread it evenly. Place the other cake on top, domed side up. Spoon another third of frosting on top of cake, spreading to make swirls or a smooth finish. Spread sides of cake with remaining frosting, and allow to sit for a few minutes until set. Carefully remove paper strips. Place cake under glass or in an airtight container, and set aside in a cool place until serving.","This is the perfect chocolate cake: beautiful, melting, intense but not heavy. The batter comes together quickly in a food processor, and the cake bakes at 350 degrees for a while, giving the baker time to assemble the frosting, which is given a luscious sheen by a bit of corn syrup. Use the best chocolate you can find for the frosting, and gild it however you like: with a few flowers, some birthday candles or nothing at all.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ",",1 ½,1,1,½,⅓,6,2,2,¾,6,3,1,½,1,2 ½","Butter for greasing baking pans---,cups all-purpose flour---,cup sugar---,teaspoon baking powder---,teaspoon baking soda---,cup best-quality cocoa powder---,ounces (1 1/2 sticks) unsalted butter, at room temperature---,large eggs, at room temperature---,teaspoons vanilla---,cup sour cream, at room temperature---,ounces good-quality semisweet chocolate, broken into small pieces---,ounces ( 3/4 stick) unsalted butter---,tablespoon light corn syrup---,cup sour cream---,teaspoon vanilla---,cups confectioners' sugar, sifted---",615,https://static01.nyt.com/images/2014/05/15/dining/All-In-One-Chocolate-Cake/All-In-One-Chocolate-Cake-articleLarge.jpg,4,All-in-One Chocolate Cake,"Chocolate,Cocoa Powder,Dessert",1 hour 15 minutes,https://cooking.nytimes.com/recipes/7470-all-in-one-chocolate-cake,10 to 12 servings
Melissa Clark,,"In the bowl of an electric mixer, cream butter and sugar together until fluffy. Add egg yolk, milk and vanilla extract; mix until smooth. Whisk together baking powder, salt, flour and cocoa, then add to mixer bowl and mix until combined. Roll into a 10-inch-long log, wrap in plastic wrap or parchment paper and chill for at least 1 hour and up to 3 days.,Heat oven to 350 degrees. Slice dough into 1/8-inch rounds and place on parchment-lined baking sheets. You should have about 48 cookies.  Bake for about 12 minutes, rotating the sheets halfway through. Remove from oven and let cool.,In a medium saucepan over medium heat, combine brown sugar, maple syrup, butter and salt. Stir continuously until mixture is combined and sugar is dissolved. Continue cooking without stirring until mixture bubbles, about 5 minutes. Remove from the heat and stir in 1/2 cup cream, then stir in bourbon. Let butterscotch cool completely.,In the bowl of an electric mixer, combine remaining 3 cups cold cream and the butterscotch. Whisk until stiff peaks form, 2 to 3 minutes.,Divide wafers into six batches, about eight cookies per batch. On a serving platter, arrange one batch of cookies into a heart shape, breaking into pieces to fill in gaps if necessary. Top wafers with about 11/4 cups butterscotch cream, smoothing into a heart shape with an offset spatula. Repeat layers until cookies and cream are finished, ending with a layer of cream. (There may be extra cookies and cream; build the cake higher if you like.) Cover with plastic wrap and chill cake in the refrigerator until cold, at least 1 hour, before decorating the top.,Melt the chocolate in a heatproof bowl set over a pot of simmering water. Stir in coconut oil. Let chocolate cool until lukewarm but still fluid. Drizzle over cold cake. Return cake to the refrigerator and let sit overnight or up to 2 days before serving.","With homemade chocolate wafer cookies and a maple-laced butterscotch whipped cream, this recipe takes icebox cake to a more sophisticated level without sacrificing any of its lusciousness. You can build the cookies and cream into any shape you like — a round, a rectangle or a heart, which is what we do here. If you have cookies and cream left over, you can sandwich them together, whoopee-pie style. The wafers can be made up to a week ahead of when you’d like to assemble the cake. Store them airtight and try not to eat them all before you make the rest of the cake.,
      ,
      ,. 
  ","1 ½,1,1,2,1,¾,¾,1 ½,¾,½,2,2,,3 ½,1,1,1","sticks/170 grams unsalted butter, softened---,cup, plus 2 tablespoons/230 grams granulated sugar---,egg yolk---,tablespoons/30 milliliters milk---,teaspoon/5 milliliters vanilla extract---,teaspoon/3 grams baking powder---,teaspoon/5 grams kosher salt---,cups/190 grams all-purpose flour---,cup/88 grams unsweetened cocoa, preferably Dutch-process---,cup/100 grams firmly packed dark brown sugar---,tablespoons/30 milliliters maple syrup---,tablespoons/28 grams unsalted butter, cut into pieces---,Pinch kosher salt---,cups/840 milliliters cold heavy cream---,tablespoon/15 milliliters bourbon---,ounce/28 grams semisweet chocolate, for serving---,teaspoon/5 milliliters coconut oil, for serving---",163,https://static01.nyt.com/images/2016/05/20/dining/icebox-cake/icebox-cake-articleLarge.jpg,4,Chocolate-Butterscotch Icebox Cake,"Cakes,Bourbon,Dark Brown Sugar,Semisweet Chocolate,Unsalted Butter,Unsweetened Cocoa,Snack,Dessert","3 hours, plus overnight chilling",https://cooking.nytimes.com/recipes/1017200-chocolate-butterscotch-icebox-cake,8 to 12 servings
Melissa Clark,,"Heat oven to 350 degrees. Grease a 9-by-5-inch loaf pan, then line with parchment paper, leaving enough to hang over the edges of the pan. Grease the parchment on the bottom of the loaf pan.,In a heatproof bowl set over a pan of simmering water, or in the microwave, melt the chocolate for the cake, stirring until smooth. Set aside to cool while you prepare the streusel.,Prepare the streusel: In a bowl, stir together flour, sugar, cocoa powder and salt. Using fingers or a fork, cut in the butter until it is evenly distributed and forms large, moist crumbs. Stir in the chocolate chips.,Scatter half the streusel evenly into the bottom of the loaf pan. Bake for 15 to 18 minutes, or until baked through.,Prepare the cake: In a large bowl, sift together flour, cocoa powder, baking powder and baking soda.,In the bowl of an electric mixer fitted with the whisk attachment, beat melted butter, both sugars and salt together until combined. Beat in egg, vanilla extract, yogurt, milk and melted chocolate. Fold in dry ingredients until just combined.,Scrape batter into prepared pan and top with remaining streusel. Bake until a toothpick inserted in the center of cake emerges clean, about 1 hour 15 minutes. Transfer pan to a wire rack and cool completely before turning out and slicing.","In this stunning dessert, a moist and soft chocolate poundcake is topped on two sides — bottom and top — with crunchy, slightly salty streusel flecked with chocolate chips. The combination of cocoa powder and melted dark chocolate gives this cake a particularly rich flavor. You can make it up to 3 days ahead. Store it at room temperature, well wrapped in foil. Then serve it topped with ice cream or whipped cream and fresh berries, or toasted and buttered, or plain as it is. It also freezes well for up to 3 months.,More romantic recipes, from dinner for two to chocolate for all, can be found ,
      ,
      ,. 
  ","½,3,1 ½,½,4 ½,⅓,3,1 ⅓,¾,½,¼,½,1,½,½,1,2,½,½","cup/60 grams all-purpose flour---,tablespoons/45 grams granulated sugar---,tablespoons/11 grams cocoa powder---,teaspoon/4 grams kosher salt---,tablespoons/64 grams cold unsalted butter, cubed---,cup/60 grams semisweet chocolate chips---,ounces/85 grams extra-bittersweet chocolate (70 percent), chopped---,cups/185 grams all-purpose flour---,cup/89 grams Dutch-process unsweetened cocoa powder---,teaspoon/2 grams baking powder---,teaspoon/2 grams baking soda---,cup/113 grams unsalted butter, melted---,cup/200 grams granulated sugar---,cup/100 grams dark brown sugar---,teaspoon/4 grams kosher salt---,large egg, at room temperature---,teaspoons/10 milliliters vanilla extract---,cup/120 milliliters plain Greek yogurt---,cup/120 milliliters whole milk---",548,https://static01.nyt.com/images/2015/02/11/dining/11APPE4/11APPE4-articleLarge.jpg,5,Chocolate Streusel Poundcake,"Cakes,Bittersweet Chocolate,Chocolate Chip,Cocoa Powder,Unsalted Butter,Snack,Dessert","2 hours, plus cooling",https://cooking.nytimes.com/recipes/1017199-chocolate-streusel-poundcake,8 to 10 servings
Christine Muhlke,Easy,"Split the vanilla bean in half lengthwise, scrape out the seeds and place the seeds and pod in a medium saucepan. Add the milk, water and spices and bring to a simmer over medium-low heat. Whisk in the chocolate and cocoa powder until melted. Add the sugar to taste and then the cream. Let cool for 45 minutes.,To serve, remove the vanilla pod, return to the stove and whisk over low heat until frothy and warm.",,"½,2,2,1,1,1,1,3 ½,4,1 to 2,3","vanilla bean---,cups whole milk---,tablespoons mineral or filtered water---,pinch ground ginger---,pinch cinnamon---,pinch black pepper---,pinch licorice powder (optional)---,ounces bittersweet chocolate, finely chopped---,teaspoons Scharffen Berger natural cocoa powder---,teaspoons sugar---,tablespoons heavy cream---",38,,4,Ingrid's Spicy Hot Chocolate,"Non Alcoholic Drinks,Chocolate,Milk,Easy,Dessert,Winter",1 hour,https://cooking.nytimes.com/recipes/11447-ingrids-spicy-hot-chocolate,Serves 4
Mark Bittman,,"Melt 1 1/2 pounds chocolate in top of a double boiler (or clean metal bowl set over simmering water). Remove chocolate from heat when it reaches between 110 and 115 degrees on a candy thermometer.,To bring into tempering range, add remaining chocolate to the mixture and stir constantly with a rubber spatula until the thermometer registers 82 to 84 degrees. Put chocolate back over the hot water and bring temperature to between 88 and 91 degrees. Be careful not to let the temperature fall too far or you will have to gently re-warm the mixture; if the temperature rises above 91 degrees in the tempering step, you will have to start the process over.,Once tempered, use immediately for dipping. Store tempered chocolate at room temperature.","Tempering chocolate is not hard, but it’s a little bit tricky. You definitely need a candy thermometer (old-fashioned or digital) to measure three or four temperatures: roughly 115 degrees Fahrenheit and 91 and 88 degrees. Melt the chocolate slowly in a double boiler  to about 115 degrees. Then to bring the temperature to dipping perfection (91 degrees), add more unmelted chocolate to the pot until the temperature is 91. At that point you can start dipping — fruit, graham crackers, cookies — whatever. When the chocolate reaches 88 degrees, if it lasts that long, the dipping must stop. But don’t worry, you can reheat the chocolate.,
      ,
      ,. 
  ","2,","pounds good-quality bittersweet chocolate, chopped into bean-size pieces (by hand or in a food processor)---,Pretzels, graham crackers, dried fruit or anything for dipping---",32,,4,Dipped Chocolate Anything,"Dips And Spreads,Bittersweet Chocolate,Chocolate,Dessert",45 minutes,https://cooking.nytimes.com/recipes/1012931-dipped-chocolate-anything,Enough for 20 to 30 dips
Melissa Clark,,"Heat oven to 325 degrees. Line a 9-inch-square baking pan with parchment paper, allowing 2 inches of paper to hang over the sides.,Make the shortbread: In a food processor, pulse together flour, sugar, cocoa powder and salt. Add butter and process until a smooth dough forms. Press dough evenly into the bottom of prepared baking pan. Bake until firm to the touch, and sides of the crust are beginning to pull away from the pan, about 25 minutes. Cool completely.,Make the filling: In a mixer fitted with the paddle attachment, combine confectioners' sugar, butter, cream and peppermint extract. Beat until mixture forms a thick, smooth paste. Press filling evenly over shortbread. Chill to set the filling for at least 1 hour and up to overnight.,Use parchment paper overhang to lift the shortbread and peppermint out of the baking pan and onto a cutting board. Cut into 1 1/2-inch squares (there should be 36 squares). Place squares on a rack placed over a parchment-lined sheet tray, and let them come to room temperature for about 15 minutes.,In the top of a double boiler or in a heatproof bowl set over a pan of simmering water, melt 7 ounces chocolate, stirring occasionally, until smooth. Remove from heat, add remaining 2 ounces chocolate and let sit for 2 minutes.,Add coconut oil, if using, and stir the chocolate until smooth. Spoon 1 teaspoon chocolate on top of a cut peppermint square, using the back of the spoon to spread chocolate to the edges. Be sure to fully cover the top of the square with chocolate. (Leave the sides exposed, though it's O.K. if some of the chocolate drips down.) Repeat with remaining squares.,Let squares sit at room temperature until chocolate is set, at least 1 hour.","A little-known fact: Creamy chocolate-covered peppermint patties are not hard to make at home. Here, the minty filling and chocolate coating are layered onto a cocoa-imbued shortbread base, which adds a cookie crunch to each bite. These keep well, so you can make them a week ahead; store airtight at room temperature. They also freeze well. The coconut oil makes the chocolate coating slightly shinier and a little more brittle in a good way, so use it if you have it. But if you don't have it on hand, you can omit it.","1,½,2,¼,8,3 ¼,3,¼,2 ¼,9,½","cup/125 grams all-purpose flour---,cup/100 grams granulated sugar---,tablespoons/15 grams unsweetened cocoa powder---,teaspoon kosher salt---,tablespoons/113 grams unsalted butter (1 stick)---,cups/405 grams confectioners’ sugar---,tablespoons/43 grams unsalted butter, softened---,cup/60 milliliters heavy cream---,teaspoons/10 milliliters peppermint extract, or to taste---,ounces/255 grams bittersweet chocolate (at least 60 percent cocoa solids), chopped---,teaspoon coconut oil (optional)---",542,,5,Chocolate Peppermint Bars,"American,Cookies And Bars,Bittersweet Chocolate,Peppermint Extract,Dessert","1 hour 10 minutes, plus chilling",https://cooking.nytimes.com/recipes/1017972-chocolate-peppermint-bars,36 squares
David Tanis,,"Heat oven to 425 degrees. If using hazelnuts, place on a baking sheet and roast until quite dark, about 10 minutes. Let cool slightly, then use a clean kitchen towel to rub off skins, discarding the skins. Crush nuts coarsely with a rolling pin or meat mallet and set aside.,To make the puffs, put 1 cup/240 milliliters water, the butter and the salt in a saucepan over high heat and bring to a boil. Add flour and stir with a wooden spoon until mixture comes together and forms a sticky ball. Lower heat to medium and continue to cook, stirring, for a minute or 2 more.,Transfer dough to the bowl of a stand mixer fitted with paddle attachment. Mix at medium speed to cool dough slightly, then increase speed and begin to add 4 eggs, 1 at a time. Make sure each egg is fully incorporated into dough before adding the next. When all eggs have been added, scrape down sides of bowl and beat again until dough is smooth and glossy.,Line a pair of  12-by-18-inch baking sheets with parchment. Put dough in a pastry bag (or use two soup spoons) and form mounds that are 21/2 inches in diameter, 12 mounds per sheet, spaced evenly. Brush each mound with beaten egg, smoothing pointy tops with a finger. Bake for 10 minutes at 425 degrees, then reduce heat to 375 degrees and continue baking until puffs are well browned and crisp, about 25 minutes more. Cool to room temperature. (If desired, puffs may be baked in advance, frozen and recrisped at 400 degrees for 10 minutes.),Put cream and sugar in a small mixing bowl and whip to a soft, light consistency.,To assemble profiteroles, cut puffs in half horizontally. Place 2 tablespoons softly whipped cream on the bottom half of each puff, then a scoop of ice cream. Replace the tops. Transfer filled profiteroles to dessert plates or bowls, 2 per serving. Drizzle with warm chocolate sauce and sprinkle with reserved crushed hazelnuts, if using. Dust with confectioners’ sugar and serve immediately.","Profiteroles are among the most irresistible desserts. They are essentially dolled-up cream puffs, usually drizzled with chocolate sauce and sprinkled with chopped nuts. Adding dark chocolate ice cream catapults them heavenward, to everyone’s delight.,More romantic recipes, from dinner for two to chocolate for all, can be found ,
      ,
      ,. 
  ,
                      ,
                      ,
                    ","2,¼,¼,1,4,1,1,1,1,","ounces/60 grams raw shelled hazelnuts (optional)---,pound/113 grams unsalted butter (1 stick)---,teaspoon salt---,cup/150 grams all-purpose flour---,eggs, plus 1 egg lightly beaten for glaze---,cup/120 milliliters heavy cream, chilled---,tablespoon granulated sugar---,quart/1 liter chocolate hazelnut ice cream (---,), or other ice cream---,cup/240 milliliters warm bittersweet chocolate sauce (---,), or other chocolate sauce---,Confectioners’ sugar, for garnish---",80,https://static01.nyt.com/images/2015/02/11/dining/11KITCHEN1/11KITCHEN1-articleLarge.jpg,5,Chocolate Ice Cream Profiteroles,"Ice Creams And Sorbets,Egg,Hazelnut,Heavy Cream,Snack,Dessert",1 hour 15 minutes,https://cooking.nytimes.com/recipes/1017201-chocolate-ice-cream-profiteroles,24 profiteroles
Amanda Hesser,,"Preheat oven to 425 degrees. Line bottom of casserole dish with cherry tomatoes in a single layer, halved side up. Pour oil on top, season with salt and pepper. Sprinkle cheese and bread crumbs on top. Bake until tomatoes have wilted, about 20 minutes.,Meanwhile, bring a large pot of water to a boil. Season with enough sea salt so that water tastes mildly of salt. When tomatoes are just about done, add penne to water and cook until al dente (it should be pliable, but still firm in center). Scoop out about a cup of pasta water and reserve. Drain pasta and add to casserole. Fold tomatoes and pasta together, adding another 2 to 3 tablespoons olive oil, to coat. Taste and adjust seasoning. If it is dry, add a little reserved pasta water. Serve, passing more grated cheese at the table.","This exquisitely simple recipe came to The Times in a 2001 article about Paola di Mauro, an Italian winemaker in Marina, a small town southeast of Rome. She was one of a band of cooks who helped distinguish  ""cucina casalinga,"" roughly translated as ""housewives' cooking."" From her humble kitchen, Ms. di Mauro mentored some of the best Italian chefs and restaurateurs in the United States, including Mario Batali, Lidia Bastianich, Piero Selvaggio and Tony May. Her recipe is easy and calls for just five ingredients – cherry tomatoes, olive oil, pecorino romano and penne pasta – but get your hands on the best ingredients you can afford. Ms. di Mauro intended this to serve four as a first course, but if you're making this for dinner, double the recipe.,
      ,
      ,. 
  ","1,⅓,,,¼,¼,½","pound small cherry tomatoes, halved---,cup extra virgin olive oil, plus 2 to 3 tablespoons for tossing---,Sea salt---,Freshly ground black pepper---,cup freshly grated pecorino romano, more for serving---,cup bread crumbs---,pound penne---",415,https://static01.nyt.com/images/2017/05/16/dining/16COOKING-PENNY-TOMATOES2/16COOKING-PENNY-TOMATOES2-articleLarge.jpg,5,Penne With Roasted Cherry Tomatoes,"Italian,Pastas,Cherry Tomato,Penne,Dinner,Main Course,Vegetarian",35 minutes,https://cooking.nytimes.com/recipes/1778-penne-with-roasted-cherry-tomatoes,2 to 4 servings
Mark Bittman,,"Bring a large pot of water to a boil; salt it. Cook pasta until it is tender, but not quite done.,Meanwhile, place butter in a skillet or saucepan large enough to hold the cooked pasta; turn heat to medium, and add sage. Cook until butter turns nut-brown and sage shrivels, then turn heat to a minimum.,When the pasta is just about done, scoop out a cup of the cooking water. Drain the pasta. Immediately add it to the butter-sage mixture, and raise heat to medium. Add 3/4 cup of the water, and stir; the mixture will be loose and a little soupy. Cook for about 30 seconds, or until some of the water is absorbed and the pasta is perfectly done.,Stir in cheese; the sauce will become creamy. Thin it with a little more water if necessary. Season liberally with pepper and salt to taste, and serve immediately, passing more cheese at the table if you like.","Like many simple sauces, this one takes less time to prepare than the pasta itself. Fresh, fragrant sage is my choice of herb here, but substitutions abound. Try parsley, thyme, chervil or other green herbs in its place. Or cook minced shallot or onion in the butter until translucent. You may even toast bread crumbs or chopped nuts in the butter, just until they're lightly browned. In any case, finish the sauce with a sprinkling of Parmesan, which not only adds its distinctive sharpness, but also thickens the mixture even further.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ",",1,2,30,1","Salt and freshly ground black pepper---,pound cut pasta, like ziti---,tablespoons butter---,fresh sage leaves---,cup or more freshly grated Parmigiano-Reggiano---",402,https://static01.nyt.com/images/2016/05/03/dining/03COOKING-PASTAWITHBUTTER2/03COOKING-PASTAWITHBUTTER2-articleLarge.jpg,5,"Pasta With Butter, Sage And Parmesan","Italian,Pastas,Butter,Parmigiano Reggiano,Ziti,Quick",20 minutes,https://cooking.nytimes.com/recipes/5704-pasta-with-butter-sage-and-parmesan,4 servings
Melissa Clark,,"Fit a heatproof bowl over a pot of simmering water, making sure the water doesn’t touch the bottom of the bowl. Place the chocolate in the bowl and stir until fully melted, about 5 minutes. Remove the bowl from the pot and stir the crystallized ginger and half of the pomegranate seeds into the melted chocolate.,Line a small baking sheet with parchment paper. Pour melted chocolate mixture onto the sheet. Use a spatula to smooth the chocolate into one even layer about 1/4 inch thick (it does not need to fill the entire sheet). Sprinkle chocolate with remaining pomegranate seeds and sea salt.,Chill for 20 to 30 minutes or until firm. Break or cut into pieces and store in an airtight container, separating the layers with wax paper. This is best served the same day it’s made, otherwise condensation may form on the surface.","Chocolate bark is the workhorse of homemade holiday gifts, and in Tom Faglon's version, he scatters fresh pomegranate seeds over the surface, where they glisten like rubies. Chewy bits of candied ginger are hidden inside the bittersweet chocolate, lying in wait to surprise you with their spiciness. Then, to make things even more interesting, Mr. Faglon strews the top with crunchy sea salt. This bark is as sweet and juicy as a box of chocolate-covered cherries, but a lot more sophisticated.,
      ,
      ,. 
  ","140,20,140,6","grams dark (bittersweet) chocolate pieces (5 ounces)---,grams minced crystallized ginger (2 tablespoons)---,grams fresh pomegranate seeds (1 cup)---,grams flaky sea salt (1 teaspoon)---",303,,4,Dark Chocolate and Pomegranate Bark,"Chocolate,Pomegranate Seed,Dessert,Gluten Free,Nut Free,Vegan,Vegetarian","10 minutes, plus chilling",https://cooking.nytimes.com/recipes/1015757-dark-chocolate-and-pomegranate-bark,About 3/4 pound of bark (8 servings)
Nigella Lawson,,"For the cake: heat oven to 350 degrees. Butter a 9-inch springform pan and line with parchment paper. In a large saucepan, combine Guinness and butter. Place over medium-low heat until butter melts, then remove from heat. Add cocoa and superfine sugar, and whisk to blend.,In a small bowl, combine sour cream, eggs and vanilla; mix well. Add to Guinness mixture. Add flour and baking soda, and whisk again until smooth. Pour into buttered pan, and bake until risen and firm, 45 minutes to one hour. Place pan on a wire rack and cool completely in pan.,For the topping: Using a food processor or by hand, mix confectioners' sugar to break up lumps. Add cream cheese and blend until smooth. Add heavy cream, and mix until smooth and spreadable.,Remove cake from pan and place on a platter or cake stand. Ice top of cake only, so that it resembles a frothy pint of Guinness.","For me, a chocolate cake is the basic unit of celebration. The chocolate Guinness cake here is simple but deeply pleasurable, and has earned its place as a stand-alone treat.",",1,10,¾,2,¾,2,1,2,2 ½,1 ¼,8,½","Butter for pan---,cup Guinness stout---,tablespoons (1 stick plus 2 tablespoons) unsalted butter---,cup unsweetened cocoa---,cups superfine sugar---,cup sour cream---,large eggs---,tablespoon vanilla extract---,cups all-purpose flour---,teaspoons baking soda---,cups confectioners' sugar---,ounces cream cheese at room temperature---,cup heavy cream---",1930,https://static01.nyt.com/images/2015/10/15/dining/15RECIPE40DIN/15RECIPE40DIN-articleLarge.jpg,5,Chocolate Guinness Cake,"Cocoa Powder,Guinness,Superfine Sugar,Dessert,Winter,Vegetarian",1 hour 15 minutes,https://cooking.nytimes.com/recipes/1875-chocolate-guinness-cake,One 9-inch cake or 12 servings
Sam Sifton,,"Add oil or butter to a large cast-iron or stainless-steel skillet and place over medium heat. Gently divide ground beef into 4 small piles of around 8 ounces each, and then lightly form these into thick patties of around 3 1/2 inches in diameter, like flattened meatballs. Season aggressively with salt and pepper.,Increase heat under skillet to high. Put hamburgers into the skillet with plenty of distance between them and allow them to cook, without moving, for approximately 3 minutes. Use a spatula to turn hamburgers over. If using cheese, lay slices on meat.,Continue to cook until meat is cooked through, approximately another 3 to 4 minutes for medium-rare. Remove hamburgers from skillet and allow to rest for approximately 5 minutes; meanwhile, toast the buns. Place hamburgers on buns and top as desired.","Here is the hamburger you get in better taverns and bars, plump and juicy, with a thick char that gives way to tender, medium-rare meat. It is best cooked in a heavy, cast-iron skillet slicked with oil or fat. Ask a butcher for coarse-ground chuck steak, with at least a 20 percent fat content, or grind your own. Keep it in the refrigerator until you are ready to cook, and then when you do, form your patties gently. Season after the meat is in the pan.,
      ,
      ,. 
  ,
                      ,
                      ,
                    ,
                      ,
                      ,
                    ","½,2,,4,4,","teaspoon neutral oil, like canola, or a pat of unsalted butter---,pounds ground chuck, at least 20 percent fat---,Kosher salt and black pepper to taste---,slices cheese (optional)---,soft hamburger buns---,Lettuce leaves, sliced tomatoes and condiments, as desired---",424,,5,Hamburgers (Tavern Style),"Burgers,Ground Beef,Main Course",20 minutes,https://cooking.nytimes.com/recipes/1016596-hamburgers-tavern-style,4 servings
Samantha Seneviratne,,"Bake the cake: Heat oven to 350 degrees. Butter three 8-inch round cake pans. Line the pans with parchment and butter the parchment. In a medium bowl, sift together flour, cocoa powder, baking powder, baking soda and salt, and whisk to combine well. Set aside.,In the bowl of a stand mixer fitted with the paddle attachment, beat butter and sugar on medium-high until light and fluffy, about 3 minutes. Scrape down the sides and bottom of bowl. Turn the mixer down to medium and add the eggs, one at a time, beating well after each addition, again scraping down the bowl as necessary. Beat in vanilla and melted chocolate until smooth. In a small bowl, combine coffee and yogurt.,With the mixer on low, add half the flour mixture to the butter mixture, and mix to combine. Add the coffee mixture and mix to combine. Then add the remaining flour mixture, scraping the bowl one more time to make sure everything has been combined. Divide the batter between the prepared pans, smooth the tops and bake until a toothpick inserted into the center comes out clean, 20 to 25 minutes. Transfer cakes in the pans to a rack to cool for 5 minutes. Run a knife around the edges to loosen the cakes and invert them onto racks to cool completely.,Meanwhile, prepare the filling: On two separate trays lined with parchment paper, toast coconut and pecans at 325 degrees, stirring occasionally, until coconut is deep golden brown and nuts are fragrant, about 5 to 10 minutes. Watch carefully — coconut and nuts can quickly turn from golden to burned. Remove from oven, roughly chop the pecans, and transfer both coconut and pecans to a large bowl.,In a medium saucepan, cook evaporated milk, egg yolks, brown sugar and salt over medium heat, whisking at first and then stirring constantly, until the mixture has thickened enough to leave a line on the back of a wooden spoon, 5 to 7 minutes. Be careful not to let the mixture curdle. Lower the heat as necessary.,Remove from heat and add the butter, stirring until it has melted. Add vanilla and stir to combine. Add the milk mixture to the coconut and pecans, stirring to combine. This mixture will thicken slightly as it cools.,To assemble the cake, set one layer on a serving plate. Top with 1/3 of the coconut mixture. Repeat two more times, so the top of the cake is covered in coconut.,If desired, finish with ganache: Heat heavy cream over medium heat until very hot. Place the chocolate in a medium bowl, and pour the hot cream over the chocolate. Let stand 5 minutes. Add salt and whisk until smooth. Let this mixture stand at room temperature, stirring occasionally, until it is thick enough to spread around the sides of the cake.","German chocolate cake is an American classic, named after a chocolatier called Samuel German (as opposed to the European nation). Milder than devil’s food cake, this chocolate cake has layers that are subtle and sweet, chocolatey but not excessively so. They create a lovely, velvet-textured vehicle for the heaps of gooey, toasted coconut and pecan custard. For more chocolate appeal, rich ganache can be slathered on the sides. This not only adds another blissful layer of chocolate, but also neatens up the look and makes for a party-worthy presentation.,
                      ,
                      ,
                    ","1 ½,1 ¾,½,½,½,¾,1 ½,3,1 ½,4,½,½,2,2,1,5,¾,½,4,1,¾,6,","sticks/171 grams unsalted butter (12 tablespoons), at room temperature, plus more for the pans---,cups/254 grams all-purpose flour---,cup/50 grams Dutch-process cocoa powder---,teaspoon baking powder---,teaspoon baking soda---,teaspoon kosher salt---,cups/300 grams granulated sugar---,large eggs, at room temperature---,teaspoons vanilla extract---,ounces/113.5 grams semisweet chocolate, melted and cooled slightly---,cup/120 milliliters brewed coffee, cooled to room temperature---,cup/114 grams plain whole milk yogurt or sour cream, at room temperature---,cups/7 ounces/198 grams sweetened shredded coconut---,cups/227 grams pecan halves---,12-ounce can/354 milliliters evaporated milk---,large egg yolks, at room temperature---,cup/150 grams light brown sugar---,teaspoon kosher salt---,tablespoons/57 grams unsalted butter, cut into 4 pieces, at room temperature---,teaspoon vanilla extract---,cup/180 milliliters heavy cream---,ounces/170 grams semisweet chocolate, chopped---,Pinch kosher salt---",209,https://static01.nyt.com/images/2017/01/17/dining/17COOKING-GERMAN-CHOC-CAKE2/17COOKING-GERMAN-CHOC-CAKE2-articleLarge.jpg,4,German Chocolate Cake,"American,Cakes,Coconut,Coffee,Pecan,Semisweet Chocolate,Dessert",1 1/4 hours,https://cooking.nytimes.com/recipes/1018497-german-chocolate-cake,8 to 10 servings
